CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|UNIDOS POR TARIJA|MAS-IPSP|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
6000647|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1883|San Andrés|1|U.E. San Andres|8|189|62|85|147|0|13|160|147|160
6000657|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1884|Bella Vista|1|U.E. Bella Vista|1|220|49|109|158|2|8|168|158|168
6000667|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1884|Bella Vista|1|U.E. Bella Vista|2|220|45|102|147|0|6|153|147|153
6000677|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1884|Bella Vista|1|U.E. Bella Vista|3|131|25|62|87|1|8|96|87|96
6000687|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1885|Pinos Sud|1|U.E. Pinos Sud|1|220|32|112|144|1|6|151|144|151
6000697|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|1885|Pinos Sud|1|U.E. Pinos Sud|2|223|39|130|169|1|1|171|169|171
6000707|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|1|219|131|40|171|1|6|178|171|178
6000717|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|2|219|134|39|173|1|4|178|173|178
6000727|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|3|218|128|33|161|2|10|173|161|173
6000737|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|4|220|134|36|170|0|7|177|170|177
6000747|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|5|219|130|37|167|1|10|178|167|178
6000757|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|6|219|133|39|172|3|4|179|172|179
6000767|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|7|214|121|34|155|3|4|162|155|162
6000777|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|8|217|115|44|159|2|11|172|159|172
6000787|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|9|219|128|36|164|1|13|178|164|178
6000797|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|1|U.E. Nacional San Luis|10|195|113|26|139|0|8|147|139|147
6000807|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|56|U.E. Narciso Campero|1|220|133|33|166|1|8|175|166|175
6000817|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|56|U.E. Narciso Campero|2|218|140|34|174|1|4|179|174|179
6000827|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|56|U.E. Narciso Campero|3|220|111|54|165|4|8|177|165|177
6000837|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|56|U.E. Narciso Campero|4|220|138|38|176|2|5|183|176|183
6000847|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|56|U.E. Narciso Campero|5|150|91|23|114|1|2|117|114|117
6000857|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|1|220|129|38|167|0|6|173|167|173
6000867|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|2|218|111|22|133|1|34|168|133|168
6000877|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|3|219|126|37|163|1|6|170|163|170
6000887|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|4|219|130|38|168|1|5|174|168|174
6000897|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|5|217|141|30|171|1|7|179|171|179
6000907|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|6|220|142|39|181|1|3|185|181|185
6000917|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|7|220|137|30|167|2|4|173|167|173
6000927|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|8|220|118|40|158|2|9|169|158|169
6000937|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|9|219|132|28|160|2|4|166|160|166
6000947|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|10|220|142|31|173|1|7|181|173|181
6000957|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|2|U.E. Maria Laura Justiniano|11|91|51|15|66|0|3|69|66|69
6000967|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|1|219|137|42|179|0|4|183|179|183
6000977|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|2|218|121|52|173|2|5|180|173|180
6000987|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|3|220|114|50|164|0|6|170|164|170
6000997|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|4|219|124|48|172|1|5|178|172|178
6001007|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|5|219|126|35|161|1|18|180|161|180
6001017|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|6|219|116|45|161|2|9|172|161|172
6001027|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|69|U.E. Liceo Campero|7|113|73|20|93|2|2|97|93|97
6001037|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|1|220|122|49|171|2|5|178|171|178
6001047|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|2|219|112|46|158|0|4|162|158|162
6001057|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|3|218|98|58|156|0|7|163|156|163
6001067|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|4|217|107|46|153|0|7|160|153|160
6001077|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|5|220|104|52|156|1|5|162|156|162
6001087|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|6|219|108|48|156|1|9|166|156|166
6001097|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|7|218|118|56|174|0|5|179|174|179
6001107|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|8|219|121|46|167|0|7|174|167|174
6001117|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|9|219|124|35|159|3|8|170|159|170
6001127|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|10|220|115|48|163|2|6|171|163|171
6001137|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|80|U.A.J.M.S Campus|11|195|109|34|143|1|4|148|143|148
6001147|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|1|218|134|45|179|1|6|186|179|186
6001157|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|2|220|139|37|176|1|5|182|176|182
6001167|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|3|220|130|59|189|1|3|193|189|193
6001177|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|4|220|140|23|163|1|11|175|163|175
6001187|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|5|220|141|38|179|0|7|186|179|186
6001197|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|6|219|131|47|178|0|3|181|178|181
6001207|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|7|220|139|53|192|1|3|196|192|196
6001217|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|8|219|151|35|186|2|3|191|186|191
6001227|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|9|220|128|38|166|1|10|177|166|177
6001237|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|10|219|125|53|178|2|3|183|178|183
6001247|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|4|U.E. Rosa Arce|11|224|133|40|173|0|10|183|173|183
6001257|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|1|220|128|47|175|0|9|184|175|184
6001267|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|2|218|135|32|167|1|7|175|167|175
6001277|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|3|218|139|45|184|1|4|189|184|189
6001287|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|4|220|142|40|182|0|10|192|182|192
6001297|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|5|218|131|50|181|0|7|188|181|188
6001307|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|6|219|127|53|180|2|4|186|180|186
6001317|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|7|220|129|44|173|2|7|182|173|182
6001327|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|8|U.E. Carmen Echazu|8|149|84|35|119|0|8|127|119|127
6001337|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|1|220|132|39|171|1|8|180|171|180
6001347|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|2|219|142|44|186|1|5|192|186|192
6001357|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|3|220|125|38|163|1|7|171|163|171
6001367|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|4|218|112|51|163|1|5|169|163|169
6001377|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|5|220|142|32|174|1|10|185|174|185
6001387|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|6|220|121|45|166|0|3|169|166|169
6001397|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|7|220|127|45|172|0|7|179|172|179
6001407|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|8|219|117|46|163|2|8|173|163|173
6001417|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|9|220|122|53|175|0|4|179|175|179
6001427|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|10|219|115|47|162|2|4|168|162|168
6001437|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|11|218|123|52|175|1|6|182|175|182
6001447|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|12|220|142|46|188|2|2|192|188|192
6001457|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|13|219|128|55|183|0|3|186|183|186
6001467|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|14|219|128|47|175|0|2|177|175|177
6001477|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|5|U.E. San Roque|15|216|127|51|178|1|4|183|178|183
6001487|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|6|U.E. Avelina Raña|1|220|113|67|180|1|10|191|180|191
6001497|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|6|U.E. Avelina Raña|2|220|116|62|178|2|7|187|178|187
6001507|GOBERNADOR(A)|32|Bolivia|6|Tarija|1|Cercado|1|Tarija|2680|Tarija|6|U.E. Avelina Raña|3|220|130|45|175|1|4|180|175|180
